Equipment Name,Maker,Type of Maintenance,Frequency,Parts Required
G 5890 SCVi,Miele,Check drain pump,Annually,None
GDT530PSPSS,GE,Replace spray arm bearings,As needed,Replacement bearings
DW80R5060US,Samsung,Clean detergent dispenser,Monthly,Soft brush
LDP6797ST,LG,Inspect heating element,Annually,Multimeter
MDB4949SKZ,Maytag,Clean wash arms,Quarterly,Vinegar solution
FFCD2418US,Frigidaire,Check timer,Annually,None
13479,Kenmore,Lubricate pump motor,Every 2 years,Motor oil
Series 4 SHS863WD5N,Bosch,Replace water softener,As needed,Salt pellets
WDF540PADM,Whirlpool,Clean control panel,Weekly,Microfiber cloth
KDTM354ESS,KitchenAid,Check door balance,Bi-annually,None
G 4228 SCU,Miele,Inspect spray arm seals,Annually,Replacement seals (if needed)
GDF510PGMWW,GE,Clean interior light,As needed,Glass cleaner
DW80J3020US,Samsung,Tighten handle screws,Annually,Screwdriver
LDP6797BM,LG,Check for unusual noises,Monthly,None
MDB8959SKB,Maytag,Clean turbidity sensor,Bi-annually,Soft cloth
FDSH4501AS,Frigidaire,Inspect drain hose,Annually,Flashlight
14573,Kenmore,Replace soap dispenser,As needed,Replacement dispenser
Series 6 SHEM63W55N,Bosch,Check water temperature,Quarterly,Thermometer
WDT730PAHZ,Whirlpool,Clean interior corners,Monthly,Old toothbrush
KDTE334GPS,KitchenAid,Inspect door springs,Annually,None
G 6660 SCVi,Miele,Replace water inlet valve,As needed,New inlet valve
GDF645SSNSS,GE,Clean filter housing,Monthly,Soft brush
DW80R5061US,Samsung,Check for error codes,Monthly,None
LDP6810BD,LG,Inspect drain pump filter,Quarterly,None
MDB7959SKZ,Maytag,Clean door edges,Monthly,Damp cloth
FFID2426TD,Frigidaire,Check water pressure,Bi-annually,Pressure gauge
14469,Kenmore,Inspect control board,Annually,None
Series 8 SHPM88Z75N,Bosch,Replace spray arms,As needed,New spray arms
WDT975SAHV,Whirlpool,Clean silverware basket,Weekly,Dish soap
KDTM404ESS,KitchenAid,Check float switch,Bi-annually,None
G 7366 SCVi,Miele,Inspect door latch,Annually,None
GDP665SYNFS,GE,Clean air gap,Quarterly,Bottle brush
DW80R9950UT,Samsung,Replace rinse aid dispenser,As needed,New dispenser
LDT7808SS,LG,Check for leaks,Monthly,None
MDB8959SKW,Maytag,Clean exterior,Weekly,All-purpose cleaner
FGID2476SF,Frigidaire,Inspect drain hose,Annually,None
13803,Kenmore,Replace detergent dispenser,As needed,New dispenser
Series 6 SHP865ZP5N,Bosch,Check water inlet temperature,Quarterly,Thermometer
WDT730PAHZ,Whirlpool,Clean control panel,Weekly,Microfiber cloth
KDTM354DSS,KitchenAid,Inspect spray arm bearings,Annually,None
G 5890 SCVi,Miele,Replace water softener salt,As needed,Salt pellets
GDT665SGNWW,GE,Clean interior light,As needed,Glass cleaner
DW80R7061UG,Samsung,Tighten handle screws,Annually,Screwdriver
LDP6797ST,LG,Check for unusual noises,Monthly,None
MDB7959SHZ,Maytag,Clean turbidity sensor,Bi-annually,Soft cloth
FFCD2413US,Frigidaire,Inspect drain pump,Annually,Flashlight
14009,Kenmore,Lubricate door hinges,Annually,Food-grade lubricant
Series 4 SHXM4AY55N,Bosch,Check water hardness,Bi-annually,Water testing kit
WDF520PADM,Whirlpool,Clean exterior,Monthly,All-purpose cleaner
KDFE104HBS,KitchenAid,Tighten drain hose,Annually,Screwdriver
G 4228 SCU,Miele,Check rinse aid level,Weekly,None
GDF530PGMWW,GE,Replace detergent dispenser,As needed,Replacement dispenser
DW80J3020US,Samsung,Clean spray arm nozzles,Quarterly,Toothpick or wire
LDF5545BD,LG,Inspect electrical connections,Annually,None
MDB4949SKZ,Maytag,Clean silverware basket,Monthly,Dish soap
FFID2426TS,Frigidaire,Check for leaks,Monthly,None
14702,Kenmore,Replace water inlet hose,Every 5 years,New inlet hose
Series 6 SHX865ZN5N,Bosch,Clean filter,Monthly,None
WDT975SAHZ,Whirlpool,Descale,Quarterly,Descaling solution
KDTM404KBS,KitchenAid,Check spray arms,Bi-monthly,None
G 7566 SCVi,Miele,Replace rinse aid,As needed,Rinse aid
GDT665SSNSS,GE,Clean door seal,Monthly,Soft cloth
DW80R9950UG,Samsung,Unclog drain,Bi-annually,None
LDP7808BD,LG,Check water inlet valve,Annually,Replacement valve (if needed)
MDB9959SKZ,Maytag,Inspect hoses,Annually,Replacement hoses (if needed)
FPID2498SF,Frigidaire,Clean interior,Monthly,All-purpose cleaner
14573,Kenmore,Lubricate hinges,Annually,Food-grade lubricant
Series 4 SGV4HCX40N,Bosch,Wipe control panel,Weekly,Microfiber cloth
WDF518SAHM,Whirlpool,Clean exterior,Monthly,All-purpose cleaner
KDFE104HPS,KitchenAid,Tighten drain hose,Annually,Screwdriver
G 5000 SCI,Miele,Check water hardness,Bi-annually,Water testing kit
GDP630PYRFS,GE,Replace detergent dispenser,As needed,Replacement dispenser
DW80R2031US,Samsung,Clean spray arm nozzles,Quarterly,Toothpick or wire
LDT7808SS,LG,Inspect electrical connections,Annually,None
MDB7959SKZ,Maytag,Clean silverware basket,Monthly,Dish soap
FFID2426TD,Frigidaire,Check for leaks,Monthly,None
13273,Kenmore,Replace water inlet hose,Every 5 years,New inlet hose
Series 8 SHPM88Z75N,Bosch,Calibrate sensors,Annually,None
WDT970SAHV,Whirlpool,Clean drain pump,Bi-annually,None
KDTM384ESS,KitchenAid,Lubricate door latch,Annually,Silicone lubricant
G 7100 SC,Miele,Update software,As available,None
GDF645SMNES,GE,Replace leveling legs,As needed,Replacement legs
DW80R7061UG,Samsung,Clean air gap,Quarterly,Bottle brush
LDP6810SS,LG,Descale heating element,Annually,Vinegar solution
MDB8959SFZ,Maytag,Check float switch,Bi-annually,None
FGIP2468UF,Frigidaire,Tighten rack rollers,Annually,Pliers
14009,Kenmore,Replace door gasket,Every 2 years,New door gasket
Series 2 SGE53X55UC,Bosch,Clean cutlery tray,Weekly,Dish soap
WDTA50SAKZ,Whirlpool,Inspect pump impeller,Annually,Flashlight
KDPM604KBS,KitchenAid,Clean water inlet screen,Bi-annually,Small brush
G 5890 SCVi,Miele,Check drain pump,Annually,None
GDT530PSMSS,GE,Replace spray arm bearings,As needed,Replacement bearings
DW80R5061US,Samsung,Clean detergent dispenser,Monthly,Soft brush
LDF5545ST,LG,Inspect heating element,Annually,Multimeter
MDB4949SDZ,Maytag,Clean wash arms,Quarterly,Vinegar solution
FFCD2418US,Frigidaire,Check timer,Annually,None
13092,Kenmore,Lubricate pump motor,Every 2 years,Motor oil
Series 4 SHS863WD5N,Bosch,Replace water softener,As needed,Salt pellets
WDF330PAHW,Whirlpool,Clean control panel,Weekly,Microfiber cloth
KDTM354ESS,KitchenAid,Check door balance,Bi-annually,None
G 4228 SCU,Miele,Inspect spray arm seals,Annually,Replacement seals (if needed)
GDF510PSMSS,GE,Clean interior light,As needed,Glass cleaner
DW80J7550US,Samsung,Tighten handle screws,Annually,Screwdriver
LDP6797BM,LG,Check for unusual noises,Monthly,None
MDB7959SKB,Maytag,Clean turbidity sensor,Bi-annually,Soft cloth
FDSH4501AS,Frigidaire,Inspect drain hose,Annually,Flashlight
14699,Kenmore,Replace soap dispenser,As needed,Replacement dispenser
Series 6 SHP865ZP5N,Bosch,Check water temperature,Quarterly,Thermometer
WDT730PAHZ,Whirlpool,Clean interior corners,Monthly,Old toothbrush
KDTE334GBS,KitchenAid,Inspect door springs,Annually,None
G 6660 SCVi,Miele,Replace water inlet valve,As needed,New inlet valve
GDF645SGNWW,GE,Clean filter housing,Monthly,Soft brush
DW80R5060US,Samsung,Check for error codes,Monthly,None
LDP6810BD,LG,Inspect drain pump filter,Quarterly,None
MDB7959SHZ,Maytag,Clean door edges,Monthly,Damp cloth
FFID2426TS,Frigidaire,Check water pressure,Bi-annually,Pressure gauge
14479,Kenmore,Inspect control board,Annually,None
Series 8 SHPM78Z55N,Bosch,Replace spray arms,As needed,New spray arms
WDT750SAKZ,Whirlpool,Clean silverware basket,Weekly,Dish soap
KDTM404ESS,KitchenAid,Check float switch,Bi-annually,None
G 7366 SCVi,Miele,Inspect door latch,Annually,None
GDP665SYNFS,GE,Clean air gap,Quarterly,Bottle brush
DW80R9950UT,Samsung,Replace rinse aid dispenser,As needed,New dispenser
LDT7808ST,LG,Check for leaks,Monthly,None
MDB8959SKW,Maytag,Clean exterior,Weekly,All-purpose cleaner
FGID2476SF,Frigidaire,Inspect drain hose,Annually,None
13803,Kenmore,Replace detergent dispenser,As needed,New dispenser
Series 6 SHP865ZP5N,Bosch,Check water inlet temperature,Quarterly,Thermometer
WDT970SAHZ,Whirlpool,Clean control panel,Weekly,Microfiber cloth
KDTM354DSS,KitchenAid,Inspect spray arm bearings,Annually,None
G 5890 SCVi,Miele,Replace water softener salt,As needed,Salt pellets
GDT665SGNWW,GE,Clean interior light,As needed,Glass cleaner
DW80R7061UG,Samsung,Tighten handle screws,Annually,Screwdriver
LDP6797ST,LG,Check for unusual noises,Monthly,None
MDB7959SHZ,Maytag,Clean turbidity sensor,Bi-annually,Soft cloth
FFCD2413US,Frigidaire,Inspect drain pump,Annually,Flashlight
14573,Kenmore,Lubricate door hinges,Annually,Food-grade lubricant
Series 4 SHXM4AY55N,Bosch,Check water hardness,Bi-annually,Water testing kit
WDF520PADM,Whirlpool,Clean exterior,Monthly,All-purpose cleaner
KDFE104HBS,KitchenAid,Tighten drain hose,Annually,Screwdriver
G 4228 SCU,Miele,Check rinse aid level,Weekly,None
GDF530PGMWW,GE,Replace detergent dispenser,As needed,Replacement dispenser
DW80J3020US,Samsung,Clean spray arm nozzles,Quarterly,Toothpick or wire
LDF5545BD,LG,Inspect electrical connections,Annually,None
MDB4949SKZ,Maytag,Clean silverware basket,Monthly,Dish soap
FFID2426TS,Frigidaire,Check for leaks,Monthly,None
14702,Kenmore,Replace water inlet hose,Every 5 years,New inlet hose
Series 6 SHX865ZN5N,Bosch,Calibrate sensors,Annually,None
WDT975SAHZ,Whirlpool,Clean drain pump,Bi-annually,None
KDTM404KBS,KitchenAid,Lubricate door latch,Annually,Silicone lubricant
G 7566 SCVi,Miele,Update software,As available,None
GDT665SSNSS,GE,Replace leveling legs,As needed,Replacement legs
DW80R9950UG,Samsung,Clean air gap,Quarterly,Bottle brush
LDP7808BD,LG,Descale heating element,Annually,Vinegar solution
MDB9959SKZ,Maytag,Check float switch,Bi-annually,None
FPID2498SF,Frigidaire,Tighten rack rollers,Annually,Pliers
14573,Kenmore,Replace door gasket,Every 2 years,New door gasket
SHPM65Z55N,Bosch,Inspect telescopic rails,Annually,None
WDTA80SAK,Whirlpool,Clean condenser coils,Bi-annually,Coil brush
KDTM504EPA,KitchenAid,Replace water distribution arm,As needed,New distribution arm
G 7960 SCVi,Miele,Calibrate soil sensors,Annually,None
PDT785SYNFS,GE,Clean sump area,Quarterly,Soft brush
DW80R7070UG,Samsung,Inspect and clean sump filter,Monthly,None
LDT7808BM,LG,Replace circulation pump,As needed,New circulation pump
MDB9979SKZ,Maytag,Clean and lubricate rack adjuster,Bi-annually,Food-grade lubricant
FGIP2468UF,Frigidaire,Replace touchpad membrane,As needed,New membrane switch
17489,Kenmore,Inspect and clean ventilation fan,Annually,Compressed air
SHE89PW55N,Bosch,Replace aquastop hose,Every 5 years,New aquastop hose
WDF560SAFM,Whirlpool,Clean and sanitize cutlery tray,Monthly,Sanitizing solution
KDTM704KPS,KitchenAid,Inspect and clean flood switch,Annually,None
G 5690 SCVi,Miele,Replace door counterbalance spring,As needed,New counterbalance spring
GDT696SSNSS,GE,Clean and descale heating element,Annually,Descaling solution
DW80R9350UG,Samsung,Inspect and clean water reflector,Quarterly,Soft cloth
LDP7808SS,LG,Replace door seal,Every 3-5 years,New door seal
MDB8959SFZ,Maytag,Inspect and clean overflow float switch,Bi-annually,None
FFID2426TD,Frigidaire,Replace dispenser actuator,As needed,New actuator
13033,Kenmore,Clean and lubricate door latch assembly,Annually,Silicone lubricant
SMV88TX02A,Bosch,Inspect and clean turbidity sensor,Quarterly,Soft cloth
WDT750SAKW,Whirlpool,Replace drain pump,As needed,New drain pump
KDTM354DSS,KitchenAid,Clean and descale spray arms,Bi-annually,Descaling solution
G 7310 SC,Miele,Inspect and clean salt container,Monthly,None
GDP665SYNFS,GE,Replace circulation pump capacitor,As needed,New capacitor
DW80K7050UG,Samsung,Clean and sanitize door gasket,Monthly,Sanitizing solution
LDF5545SS,LG,Inspect and clean water inlet valve screen,Bi-annually,Small brush
MDB7959SKZ,Maytag,Replace upper dishrack wheels,As needed,New dishrack wheels
FGID2466QF,Frigidaire,Clean and descale float switch,Annually,Descaling solution
14573,Kenmore,Inspect and clean door switch,Bi-annually,Contact cleaner
SHP865ZD5N,Bosch,Replace circulation pump seal,As needed,New pump seal
WDF518SAHM,Whirlpool,Clean and lubricate upper rack stoppers,Quarterly,Food-grade lubricant
KDPM604KPS,KitchenAid,Inspect and clean optical water indicator,Monthly,Soft cloth
G 4228 SCU,Miele,Replace spray arm bearing,As needed,New spray arm bearing
GDF630PMMES,GE,Clean and descale detergent dispenser,Quarterly,Descaling solution
DW80R5061US,Samsung,Inspect and clean door hinges,Bi-annually,None
LDP6810SS,LG,Replace lower spray arm,As needed,New lower spray arm
MDB4949SKZ,Maytag,Clean and lubricate rack slides,Quarterly,Food-grade lubricant
FFCD2418US,Frigidaire,Inspect and clean water diverter,Annually,None
13479,Kenmore,Replace timer,As needed,New timer
SHS863WD5N,Bosch,Clean and descale water softener,Bi-annually,Descaling solution
WDT730PAHZ,Whirlpool,Inspect and clean door balance link kit,Annually,None
KDTE334GBS,KitchenAid,Replace upper spray arm,As needed,New upper spray arm
G 5890 SCVi,Miele,Clean and sanitize silverware basket,Weekly,Sanitizing solution
GDT665SSNSS,GE,Inspect and clean drain hose air gap,Quarterly,Pipe cleaner
DW80R2031US,Samsung,Replace rinse aid cap,As needed,New rinse aid cap
LDT7808BD,LG,Clean and descale water inlet assembly,Annually,Descaling solution
MDB7959SHZ,Maytag,Inspect and clean lower rack rollers,Bi-annually,None
FDSH4501AS,Frigidaire,Replace control board,As needed,New control board
14702,Kenmore,Clean and lubricate door springs,Quarterly,Food-grade lubricant
SGV68U53UC,Bosch,Inspect and clean power cord,Annually,None
WDF520PADM,Whirlpool,Replace upper rack adjuster,As needed,New rack adjuster
KDTM404ESS,KitchenAid,Clean and sanitize utensil basket,Weekly,Sanitizing solution
G 7566 SCVi,Miele,Inspect and clean drain pump impeller,Bi-annually,None
PDT775SYNFS,GE,Replace door cable,As needed,New door cable
DW80R9950UT,Samsung,Clean and descale heating element housing,Annually,Descaling solution
LDP6797ST,LG,Inspect and clean detergent dispenser spring,Quarterly,None
MDB8959SKB,Maytag,Replace lower dishrack wheels,As needed,New dishrack wheels
FGIP2468UF,Frigidaire,Clean and lubricate door hinge pins,Bi-annually,Food-grade lubricant
13273,Kenmore,Inspect and clean fill funnel,Monthly,Soft brush
SMV88TX36E,Bosch,Replace water softener resin,Every 5-7 years,Water softener resin
WDT970SAHV,Whirlpool,Clean and descale sump,Quarterly,Descaling solution
KDFE104HBS,KitchenAid,Inspect and clean vent fan motor,Annually,Compressed air
G 5000 SCI,Miele,Replace door shock absorber,As needed,New shock absorber
GDF645SMNES,GE,Clean and sanitize interior walls,Monthly,Sanitizing solution
DW80K5050US,Samsung,Inspect and clean spray arm nozzles,Bi-annually,Toothpick
LDF5545ST,LG,Replace water inlet valve,As needed,New inlet valve
MDB7959SKZ,Maytag,Clean and descale wash pump,Annually,Descaling solution
FFID2426TS,Frigidaire,Inspect and clean door lock assembly,Bi-annually,None
14469,Kenmore,Replace thermal fuse,As needed,New thermal fuse
SHP865ZP5N,Bosch,Clean and lubricate pump motor bearings,Annually,Motor bearing grease
WDT750SAHZ,Whirlpool,Inspect and clean float switch assembly,Quarterly,None
KDTM384ESS,KitchenAid,Replace dispenser rinse aid indicator,As needed,New rinse aid indicator
G 7100 SC,Miele,Clean and sanitize detergent cup,Weekly,Sanitizing solution
GDT530PSMSS,GE,Inspect and clean drain solenoid,Bi-annually,None
DW80R7061UG,Samsung,Replace door balance spring,As needed,New balance spring
LDP6810BD,LG,Clean and descale water distribution tube,Quarterly,Descaling solution
MDB4949SDZ,Maytag,Inspect and clean tub seal,Annually,None
FGID2476SF,Frigidaire,Replace main control board,As needed,New control board
14573,Kenmore,Clean and lubricate door catch,Bi-annually,Food-grade lubricant
SHS5AV55UC,Bosch,Inspect and clean dispenser wax motor,Annually,None
WDTA50SAKZ,Whirlpool,Replace spray arm mounting gasket,As needed,New mounting gasket
KDPM604KBS,KitchenAid,Clean and sanitize air gap,Monthly,Sanitizing solution
G 4228 SCU,Miele,Inspect and clean drain valve,Bi-annually,None
GDF510PSMSS,GE,Replace door latch assembly,As needed,New latch assembly
DW80J7550US,Samsung,Clean and descale water softener assembly,Quarterly,Descaling solution
LDP6797BM,LG,Inspect and clean pump motor capacitor,Annually,None
MDB8959SKW,Maytag,Replace upper spray arm mount,As needed,New spray arm mount
FPID2498SF,Frigidaire,Clean and lubricate rack track stoppers,Bi-annually,Food-grade lubricant
13092,Kenmore,Inspect and clean heater relay,Annually,Contact cleaner
SGX68U55UC,Bosch,Replace door balance cable system,As needed,New cable system
WDF330PAHW,Whirlpool,Clean and descale detergent dispenser assembly,Quarterly,Descaling solution
KDTM354DSS,KitchenAid,Inspect and clean overflow pressure switch,Bi-annually,None
G 6660 SCVi,Miele,Replace drain pump motor,As needed,New drain pump motor
GDP630PYRFS,GE,Clean and sanitize silverware spray jets,Monthly,Sanitizing solution
DW80R5060US,Samsung,Inspect and clean sump gasket,Annually,None
LDT7808SS,LG,Replace dispenser actuator lever,As needed,New actuator lever
MDB7959SHZ,Maytag,Clean and descale water inlet tube,Bi-annually,Descaling solution
FFCD2413US,Frigidaire,Inspect and clean door vent,Quarterly,Soft brush
14699,Kenmore,Replace circulation pump motor,As needed,New pump motor
